Unnamed: 0,Unnamed: 1,Unnamed: 2,Passing,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Rushing,Unnamed: 10,Unnamed: 11,Unnamed: 12,Receiving,Unnamed: 14,Unnamed: 15,Unnamed: 16,Fumbles,Unnamed: 18
Player,Bye,Pts*,Att,Cmp,Yds,TD,Int,2Pt,Att,Yds,TD,2Pt,Rec,Yds,TD,2Pt,FL,TD
Anthony Miller,7,8,0,0,0,0,0,0,0,0,0,0,6,25,1,0,0,0
Eric Saubert,11,8,0,0,0,0,0,0,0,0,0,0,8,47,1,0,0,0
Adam Shaheen,14,8,0,0,0,0,0,0,0,0,0,0,12,110,0,0,0,0
Auden Tate,10,8,0,0,0,0,0,0,0,0,0,0,3,39,1,0,0,0
Alex Armah,9,7,0,0,0,0,0,0,5,21,0,0,1,1,1,0,0,0
Garrett Gilbert,9,7,31,20,194,0,0,0,0,0,0,0,0,0,0,0,0,0
Josh Gordon,12,7,0,0,0,0,0,0,0,0,0,0,5,32,1,0,0,0
Noah Gray,12,7,0,0,0,0,0,0,0,0,0,0,7,36,1,0,0,0
Joshua Kelley,7,7,0,0,0,0,0,0,33,102,0,0,5,38,0,0,1,0
Chris Myarick,10,7,0,0,0,0,0,0,0,0,0,0,3,17,1,0,0,0
Dezmon Patmon,14,7,0,0,0,0,0,0,0,0,0,0,2,21,1,0,0,0
Benjamin Snell,7,7,0,0,0,0,0,0,36,98,0,0,2,13,0,0,0,0
Blake Bell,12,6,0,0,0,0,0,0,4,10,0,0,9,87,0,0,0,0
Kylen Granson,14,6,0,0,0,0,0,0,0,0,0,0,11,106,0,0,0,0
KJ Hamler,11,6,0,0,0,0,0,0,0,0,0,0,5,74,0,0,0,0
Ito Smith,7,6,0,0,0,0,0,0,1,4,1,0,0,0,0,0,0,0
Johnny Stanton,13,6,0,0,0,0,0,0,3,5,0,0,2,7,1,0,0,0
Mitchell Trubisky,7,6,8,6,43,0,1,0,13,24,1,0,0,0,0,0,0,0
Preston Williams,14,6,0,0,0,0,0,0,1,7,0,0,6,71,0,0,0,0
Ja'Marcus Bradley,13,5,0,0,0,0,0,0,0,0,0,0,4,64,0,0,0,0
Jason Huntley,14,5,0,0,0,0,0,0,13,51,0,0,0,0,0,0,0,0
Dax Milne,9,5,0,0,0,0,0,0,1,1,0,0,9,83,0,0,1,0
Jason Moore,7,5,0,0,0,0,0,0,0,0,0,0,3,56,0,0,0,0
Jalen Richard,8,5,0,0,0,0,0,0,9,40,0,0,12,72,0,0,0,0
Mike Boone,11,4,0,0,0,0,0,0,4,35,0,0,2,22,0,0,0,0
Jaelon Darden,9,4,0,0,0,0,0,0,1,11,0,0,6,43,0,0,0,0
Alex Erickson,13,4,0,0,0,0,0,0,0,0,0,0,3,55,0,0,0,0
Will Fuller,14,4,0,0,0,0,0,0,0,0,0,0,4,26,0,1,0,0
Drew Sample,10,4,0,0,0,0,0,0,0,0,0,0,11,81,0,0,0,0
Wendell Smallwood,9,4,0,0,0,0,0,0,5,25,0,0,4,22,0,0,0,0
Keith Smith,6,4,0,0,0,0,0,0,9,31,0,0,9,56,0,0,0,0
Rodney Smith,9,4,0,0,0,0,0,0,0,0,0,0,5,48,0,0,0,0
Trent Taylor,10,4,0,0,0,0,0,0,0,0,0,0,2,41,0,0,0,0
Dede Westbrook,7,4,0,0,0,0,0,0,0,0,0,0,10,68,0,0,0,0
